tail,head,cost,capacity
185,101,1778,0
5,178,655,0
171,86,1866,0
104,115,29,0
67,137,46,0
157,23,457,0
90,42,1470,0
143,36,571,0
53,166,1813,0
9,0,1148,0
184,26,859,0
170,21,900,0
80,155,306,0
133,175,623,0
119,90,1445,0
66,66,1607,0
156,192,874,0
52,17,905,0
15,143,286,0
8,87,145,0
160,114,1607,0
109,177,1442,0
146,189,843,0
95,98,331,0
118,129,1813,0
65,11,81,0
28,185,1418,0
189,106,1353,0
122,63,424,0
175,43,607,0
108,126,36,0
71,138,402,0
145,12,219,0
94,57,1459,0
131,49,1431,0
41,179,101,0
13,13,944,0
188,21,850,0
121,110,1864,0
84,102,1630,0
107,79,966,0
70,81,1583,0
93,144,227,0
40,4,1983,0
3,152,1350,0
12,90,544,0
164,109,1307,0
97,70,1823,0
83,23,1458,0
106,156,739,0
69,40,349,0
16,172,82,0
55,197,67,0
177,127,1334,0
126,42,1474,0
163,60,1965,0
96,9,626,0
186,135,1693,0
59,127,373,0
82,52,1413,0
45,64,1989,0
135,194,180,0
1,58,1828,0
176,0,1714,0
125,99,676,0
72,113,920,0
58,44,1360,0
148,174,1576,0
81,133,1974,0
44,15,172,0
7,149,367,0
0,109,1786,0
152,88,1133,0
101,91,848,0
87,24,1838,0
161,158,1949,0
181,68,667,0
114,41,1146,0
167,49,1806,0
100,20,465,0
190,146,1963,0
63,96,266,0
33,53,258,0
56,146,945,0
19,6,462,0
5,39,1590,0
171,195,1694,0
194,96,1384,0
180,51,502,0
113,112,557,0
76,124,162,0
62,59,934,0
136,185,1523,0
18,197,196,0
184,165,460,0
4,112,263,0
193,41,830,0
156,91,1812,0
89,104,1748,0
165,131,962,0
75,13,890,0
8,194,1668,0
47,163,1120,0
169,81,1362,0
118,28,1479,0
155,2,1760,0
88,95,1058,0
51,85,1381,0
127,198,926,0
37,42,795,0
60,157,1716,0
23,11,1950,0
175,188,1317,0
198,119,1028,0
168,38,1141,0
117,77,342,0
64,119,833,0
140,180,749,0
50,54,312,0
22,176,263,0
188,168,1061,0
174,111,112,0
197,54,293,0
144,78,255,0
93,101,1141,0
130,17,989,0
79,54,1736,0
153,176,1429,0
35,180,809,0
187,81,1253,0
120,44,743,0
83,160,1624,0
173,94,1921,0
106,3,667,0
159,31,335,0
92,82,741,0
55,94,1610,0
25,31,339,0
48,136,1805,0
11,28,833,0
163,169,1453,0
186,10,1874,0
149,134,1671,0
96,132,1317,0
172,41,60,0
105,90,786,0
68,106,1079,0
54,13,1617,0
128,143,592,0
10,175,818,0
176,187,599,0
162,98,45,0
185,195,1637,0
148,49,1204,0
58,179,459,0
111,69,1433,0
81,114,1737,0
134,4,164,0
67,35,1943,0
157,189,1822,0
90,192,574,0
39,185,1976,0
191,66,223,0
124,39,19,0
161,43,1900,0
87,173,1259,0
110,118,849,0
57,106,187,0
80,69,1508,0
43,75,1650,0
29,20,1414,0
52,171,1398,0
15,33,977,0
167,170,1313,0
190,25,574,0
100,159,195,0
137,147,933,0
123,86,1667,0
86,94,687,0
109,87,545,0
56,29,208,0
19,147,48,0
132,146,730,0
42,16,1395,0
14,154,306,0
180,134,808,0
166,113,112,0
99,46,1967,0
189,176,1958,0
62,166,1182,0
136,36,662,0
122,149,1471,0
85,15,247,0
32,117,754,0
71,44,1795,0
145,170,1415,0
27,138,290,0
193,166,1488,0
179,119,108,0
112,50,1704,0
75,134,1716,0
165,8,1613,0
98,125,1562,0
61,103,1210,0
84,184,1333,0
47,52,1760,0
17,1,34,0
40,190,405,0
3,50,534,0
192,105,213,0
155,159,839,0
178,20,1806,0
141,96,658,0
88,170,1359,0
127,75,1934,0
74,69,1232,0
97,172,192,0
60,16,1788,0
23,156,1904,0
2,153,862,0
168,145,1098,0
154,76,1819,0
177,165,274,0
140,47,1617,0
50,173,1643,0
103,35,475,0
126,128,1280,0
73,20,1736,0
36,104,1664,0
31,151,1996,0
197,187,138,0
183,120,891,0
116,13,149,0
153,61,234,0
79,187,1192,0
102,104,953,0
49,124,1828,0
72,171,835,0
35,33,1922,0
44,177,1112,0
7,63,99,0
120,183,1065,0
196,116,891,0
159,128,639,0
182,35,1103,0
129,85,1887,0
92,165,1668,0
