tail,head,cost,capacity
185,101,562,0
5,178,972,0
171,86,1849,0
104,115,1127,0
67,137,1764,0
157,23,1914,0
90,42,1172,0
53,166,386,0
143,36,1507,0
9,0,816,0
184,26,936,0
80,155,196,0
133,175,283,0
170,21,1733,0
119,90,1630,0
156,192,100,0
66,66,916,0
52,17,1077,0
15,143,1613,0
8,87,453,0
160,114,1641,0
109,177,498,0
199,51,670,0
146,189,1719,0
95,98,1694,0
118,129,1238,0
65,11,1477,0
28,185,1770,0
189,106,522,0
122,63,1430,0
175,43,1738,0
108,126,1592,0
71,138,931,0
145,12,1262,0
94,57,149,0
41,179,1263,0
131,49,1343,0
13,13,309,0
188,21,368,0
121,110,1685,0
84,102,409,0
107,79,970,0
70,81,204,0
93,144,1901,0
40,4,11,0
3,152,963,0
12,90,606,0
164,109,563,0
97,70,996,0
83,23,945,0
106,156,687,0
69,40,1719,0
16,172,1199,0
55,197,1457,0
177,127,607,0
126,42,1844,0
163,60,1627,0
186,135,418,0
96,9,192,0
59,127,695,0
82,52,723,0
45,64,988,0
135,194,314,0
1,58,594,0
176,0,609,0
125,99,1100,0
72,113,806,0
148,174,1311,0
58,44,35,0
81,133,1169,0
44,15,909,0
7,149,1202,0
0,109,1704,0
152,88,89,0
101,91,1420,0
161,158,1290,0
87,24,1843,0
181,68,277,0
114,41,1047,0
167,49,1997,0
100,20,565,0
190,146,1453,0
63,96,539,0
33,53,699,0
56,146,562,0
19,6,1360,0
5,39,230,0
171,195,1824,0
194,96,403,0
180,51,993,0
113,112,233,0
76,124,1506,0
136,185,748,0
62,59,1153,0
18,197,184,0
184,165,1034,0
4,112,1552,0
193,41,361,0
156,91,1715,0
89,104,702,0
75,13,1150,0
165,131,86,0
8,194,1581,0
47,163,1127,0
169,81,1554,0
118,28,1925,0
155,2,1757,0
88,95,1646,0
51,85,1222,0
127,198,898,0
37,42,810,0
60,157,1477,0
23,11,113,0
175,188,786,0
198,119,1553,0
168,38,909,0
117,77,1357,0
64,119,777,0
50,54,28,0
140,180,1255,0
22,176,1723,0
188,168,666,0
174,111,1293,0
197,54,861,0
144,78,1105,0
93,101,1341,0
130,17,1399,0
153,176,1840,0
79,54,510,0
35,180,492,0
187,81,778,0
120,44,485,0
83,160,321,0
173,94,1514,0
106,3,1324,0
159,31,1385,0
92,82,1257,0
55,94,1220,0
25,31,252,0
48,136,996,0
11,28,1093,0
163,169,974,0
186,10,565,0
96,132,970,0
149,134,1724,0
172,41,899,0
105,90,1995,0
68,106,1228,0
54,13,1938,0
128,143,702,0
10,175,1996,0
176,187,1015,0
162,98,672,0
185,195,412,0
148,49,1848,0
58,179,250,0
111,69,1566,0
81,114,732,0
134,4,812,0
157,189,734,0
67,35,75,0
90,192,1464,0
39,185,1287,0
191,66,645,0
124,39,1824,0
87,173,676,0
161,43,391,0
110,118,1550,0
57,106,684,0
80,69,87,0
43,75,1347,0
29,20,1861,0
52,171,951,0
15,33,282,0
167,170,635,0
100,159,344,0
137,147,1947,0
190,25,1802,0
123,86,1802,0
86,94,1938,0
109,87,393,0
56,29,10,0
19,147,1122,0
42,16,1861,0
132,146,1962,0
14,154,1809,0
180,134,596,0
166,113,1381,0
189,176,1927,0
62,166,1171,0
136,36,748,0
99,46,449,0
122,149,1178,0
85,15,1624,0
32,117,1383,0
145,170,1394,0
71,44,1410,0
27,138,1648,0
193,166,1993,0
179,119,541,0
112,50,1780,0
75,134,1468,0
165,8,1214,0
98,125,1594,0
61,103,1388,0
84,184,1253,0
47,52,657,0
17,1,943,0
40,190,516,0
3,50,892,0
192,105,1021,0
155,159,422,0
88,170,1988,0
141,96,1993,0
178,20,498,0
127,75,124,0
164,199,962,0
74,69,1158,0
97,172,906,0
60,16,283,0
23,156,1573,0
2,153,1978,0
168,145,996,0
154,76,60,0
177,165,205,0
140,47,223,0
50,173,1037,0
103,35,1683,0
126,128,1178,0
73,20,1830,0
36,104,1828,0
31,151,1163,0
197,187,1805,0
183,120,1066,0
116,13,1508,0
153,61,877,0
79,187,1176,0
102,104,270,0
49,124,1853,0
72,171,1027,0
35,33,1345,0
44,177,833,0
7,63,1290,0
120,183,766,0
196,116,1023,0
159,128,341,0
92,165,1907,0
182,35,793,0
129,85,609,0
115,124,188,0
78,112,764,0
101,177,1782,0
48,3,1474,0
11,137,1853,0
6,140,1844,0
172,156,412,0
105,199,543,0
158,91,639,0
195,69,1195,0
91,20,117,0
128,26,1850,0
181,154,101,0
54,152,1852,0
114,143,1939,0
77,25,761,0
24,91,890,0
185,72,11,0
171,109,1983,0
194,134,1186,0
104,24,642,0
67,172,1253,0
157,50,929,0
90,87,1620,0
53,65,1525,0
143,195,1563,0
76,166,1071,0
39,50,983,0
124,186,258,0
184,127,567,0
147,117,1376,0
170,62,851,0
133,74,268,0
80,176,1952,0
119,113,1414,0
66,127,1300,0
89,134,633,0
52,62,1627,0
15,170,676,0
